节点编号,X坐标（米）,Y坐标（米）,Z坐标（米）
B35,71.2635,-2.294,-291.8157
B36,74.7283,-13.842,-290.6273
C29,78.0715,-25.367,-288.9663
C30,68.5927,-32.725,-290.6273
C31,59.0022,-40.031,-291.8157
C32,49.3159,-47.271,-292.5295
C33,39.5493,-54.435,-292.7676
C34,29.7184,-61.509,-292.5295
C35,19.8391,-68.484,-291.8157
C36,9.9276,-75.348,-290.6273
D29,0,-82.089,-288.9663
D30,-9.9276,-75.348,-290.6273
D31,-19.8391,-68.484,-291.8157
D32,-29.7184,-61.509,-292.5295
D33,-39.5493,-54.435,-292.7676
D34,-49.3159,-47.271,-292.5295
D35,-59.0022,-40.031,-291.8157
D36,-68.5927,-32.725,-290.6273
E29,-78.0715,-25.367,-288.9663
E30,-74.7283,-13.842,-290.6273
E31,-71.2635,-2.294,-291.8157
E32,-67.6828,9.257,-292.5295
E33,-63.9921,20.793,-292.7676
E34,-60.1972,32.295,-292.5295
E35,-56.3045,43.745,-291.8157
E36,-52.3202,55.123,-290.6273
A29,-48.2509,66.412,-288.9663
A38,-42.3557,75.319,-287.7034
A39,-30.3251,75.648,-289.1332
A40,-18.2235,75.868,-290.0899
A41,-6.1137,75.978,-290.5687
A42,6.1137,75.978,-290.5687
A43,18.2235,75.868,-290.0899
A44,30.3251,75.648,-289.1332
A45,42.3557,75.319,-287.7034
B37,54.0974,74.459,-285.9538
B38,58.5437,63.558,-287.7034
B39,62.5741,52.218,-289.1332
B40,66.5231,40.776,-290.0899
B41,70.3699,29.293,-290.5687
B42,74.1484,17.664,-290.5687
B43,77.7858,6.113,-290.0899
B44,81.316,-5.464,-289.1332
B45,84.721,-17.008,-287.7034
C37,87.5314,-28.44,-285.9538
C38,78.5377,-36.038,-287.7034
C39,68.998,-43.375,-289.1332
C40,59.337,-50.666,-290.0899
C41,49.6047,-57.873,-290.5687
C42,39.7125,-65.06,-290.5687
C43,29.8508,-72.089,-290.0899
C44,19.931,-79.024,-289.1332
C45,10.0048,-85.83,-287.7034
D37,0,-92.036,-285.9538
D38,-10.0048,-85.83,-287.7034
D39,-19.931,-79.024,-289.1332
D40,-29.8508,-72.089,-290.0899
D41,-39.7125,-65.06,-290.5687
D42,-49.6047,-57.873,-290.5687
D43,-59.337,-50.666,-290.0899
D44,-68.998,-43.375,-289.1332
D45,-78.5377,-36.038,-287.7034
E37,-87.5314,-28.44,-285.9538
E38,-84.721,-17.008,-287.7034
E39,-81.316,-5.464,-289.1332
E40,-77.7858,6.113,-290.0899
E41,-74.1484,17.664,-290.5687
E42,-70.3699,29.293,-290.5687
E43,-66.5231,40.776,-290.0899
E44,-62.5741,52.218,-289.1332
E45,-58.5437,63.558,-287.7034
A37,-54.0974,74.459,-285.9538
A47,-48.1805,83.339,-284.5585
A48,-36.4062,84.13,-286.0717
A49,-24.3327,84.42,-287.2656
A50,-12.2194,84.572,-287.9906
A51,0,84.642,-288.2291
A52,12.2194,84.572,-287.9906
A53,24.3327,84.42,-287.2656
A54,36.4063,84.13,-286.0717
A55,48.1805,83.339,-284.5585
B46,59.8791,82.417,-282.599
B47,64.3708,71.576,-284.5585
B48,68.7616,60.622,-286.0717
B49,72.7681,49.229,-287.2656
B50,76.6559,37.756,-287.9906
B51,80.4986,26.156,-288.2291
B52,84.2079,14.513,-287.9906
B53,87.8066,2.946,-287.2656
B54,91.2619,-8.627,-286.0717
B55,94.148,-20.069,-284.5585
C46,96.8864,-31.48,-282.599
C47,87.9638,-39.102,-284.5585
C48,78.9032,-46.663,-286.0717
C49,69.3059,-53.994,-287.2656
C50,59.5954,-61.237,-287.9906
C51,49.7509,-68.476,-288.2291
C52,39.824,-75.601,-287.9906
C53,29.9348,-82.598,-287.2656
C54,19.9967,-89.461,-286.0717
C55,10.0062,-95.741,-284.5585
D46,0,-101.872,-282.599
D47,-10.0062,-95.741,-284.5585
D48,-19.9967,-89.461,-286.0717
D49,-29.9348,-82.598,-287.2656
D50,-39.824,-75.601,-287.9906
D51,-49.7509,-68.476,-288.2291
D52,-59.5954,-61.237,-287.9906
D53,-69.3059,-53.994,-287.2656
D54,-78.9032,-46.663,-286.0717
D55,-87.9638,-39.102,-284.5585
E46,-96.8864,-31.48,-282.599
E47,-94.148,-20.069,-284.5585
E48,-91.2619,-8.627,-286.0717
E49,-87.8066,2.946,-287.2656
E50,-84.2079,14.513,-287.9906
E51,-80.4986,26.156,-288.2291
E52,-76.6559,37.756,-287.9906
E53,-72.7681,49.229,-287.2656
E54,-68.7616,60.622,-286.0717
E55,-64.3708,71.576,-284.5585
A46,-59.8791,82.417,-282.599
A57,-53.9481,91.284,-281.064
A58,-42.2024,92.137,-282.7895
A59,-30.4101,92.832,-284.0733
A60,-18.3091,93.055,-285.0366
A61,-6.1137,93.223,-285.5038
A62,6.1137,93.223,-285.5038
A63,18.3091,93.055,-285.0366
A64,30.4101,92.832,-284.0733
A65,42.2024,92.137,-282.7895
A66,53.9481,91.284,-281.064
B56,65.5892,90.276,-278.9059
B57,70.1453,79.516,-281.064
B58,74.5863,68.609,-282.7895
B59,78.8912,57.609,-284.0733
B60,82.8419,46.169,-285.0366
B61,86.7704,34.622,-285.5038
B62,90.5489,22.993,-285.5038
B63,94.1576,11.343,-285.0366
B64,97.6857,-0.235,-284.0733
B65,100.6687,-11.665,-282.7895
B66,103.4871,-23.099,-281.064
C56,106.1255,-34.482,-278.9059
C57,97.3003,-42.14,-281.064
C58,88.2992,-49.734,-282.7895
C59,79.1676,-57.228,-284.0733
C60,69.5083,-64.52,-285.0366
C61,59.7408,-71.824,-285.5038
C62,49.8486,-79.012,-285.5038
C63,39.8834,-86.044,-285.0366
C64,29.963,-92.977,-284.0733
C65,20.0144,-99.346,-282.7895
C66,10.0104,-105.56,-281.064
D56,0,-111.587,-278.9059
D57,-10.0104,-105.56,-281.064
D58,-20.0144,-99.346,-282.7895
D59,-29.963,-92.977,-284.0733
D60,-39.8834,-86.044,-285.0366
D61,-49.8486,-79.012,-285.5038
D62,-59.7408,-71.824,-285.5038
D63,-69.5083,-64.52,-285.0366
D64,-79.1676,-57.228,-284.0733
D65,-88.2992,-49.734,-282.7895
D66,-97.3003,-42.14,-281.064
E56,-106.1255,-34.482,-278.9059
E57,-103.4871,-23.099,-281.064
E58,-100.6687,-11.665,-282.7895
E59,-97.6857,-0.235,-284.0733
E60,-94.1576,11.343,-285.0366
E61,-90.5489,22.993,-285.5038
E62,-86.7704,34.622,-285.5038
E63,-82.8419,46.169,-285.0366
E64,-78.8912,57.609,-284.0733
E65,-74.5863,68.609,-282.7895
E66,-70.1453,79.516,-281.064
A56,-65.5892,90.276,-278.9059
A68,-59.6308,99.108,-277.2399
A69,-47.9477,100.034,-279.1673
A70,-36.1897,100.804,-280.6583
A71,-24.375,101.416,-281.7107
A72,-12.1976,101.668,-282.4095
A73,0,101.752,-282.6426
A74,12.1976,101.668,-282.4095
A75,24.375,101.416,-281.7107
A76,36.1897,100.804,-280.6583
A77,47.9477,100.034,-279.1673
A78,59.6308,99.108,-277.2399
B67,71.2207,98.027,-274.8791
B68,75.8303,87.339,-277.2399
B69,80.3213,76.514,-279.1673
B70,84.6867,65.569,-280.6583
B71,88.9198,54.522,-281.7107
B72,92.9221,43.018,-282.4095
B73,96.7712,31.443,-282.6426
B74,100.4606,19.817,-282.4095
B75,103.9844,8.158,-281.7107
B76,107.0532,-3.268,-280.6583
B77,109.9546,-14.688,-279.1673
B78,112.6842,-26.086,-277.2399
C67,115.2376,-37.443,-274.8791
C68,106.4965,-45.129,-277.2399
C69,97.589,-52.746,-279.1673
C70,88.5289,-60.28,-280.6583
C71,79.3305,-67.719,-281.7107
C72,69.6266,-75.081,-282.4095
C73,59.8079,-82.318,-282.6426
C74,49.8905,-89.42,-282.4095
C75,39.8909,-96.374,-281.7107
C76,29.9728,-102.823,-280.6583
C77,20.008,-109.112,-279.1673
C78,10.0118,-115.23,-277.2399
D67,0,-121.168,-274.8791
D68,-10.0118,-115.23,-277.2399
D69,-20.008,-109.112,-279.1673
D70,-29.9728,-102.823,-280.6583
D71,-39.8909,-96.374,-281.7107
D72,-49.8905,-89.42,-282.4095
D73,-59.8079,-82.318,-282.6426
D74,-69.6266,-75.081,-282.4095
D75,-79.3305,-67.719,-281.7107
D76,-88.5289,-60.28,-280.6583
D77,-97.589,-52.746,-279.1673
D78,-106.4965,-45.129,-277.2399
E67,-115.2376,-37.443,-274.8791
E68,-112.6842,-26.086,-277.2399
E69,-109.9546,-14.688,-279.1673
E70,-107.0532,-3.268,-280.6583
E71,-103.9844,8.158,-281.7107
E72,-100.4606,19.817,-282.4095
E73,-96.7712,31.443,-282.6426
E74,-92.9221,43.018,-282.4095
E75,-88.9198,54.522,-281.7107
E76,-84.6867,65.569,-280.6583
E77,-80.3213,76.514,-279.1673
E78,-75.8303,87.339,-277.2399
A67,-71.2207,98.027,-274.8791
A80,-65.2835,106.913,-273.0346
A81,-53.6373,107.913,-275.1691
A82,-41.8868,108.758,-276.871
A83,-30.0914,109.444,-278.1308
A84,-18.3087,109.87,-278.9869
A85,-6.1133,110.038,-279.454
A86,6.1133,110.038,-279.454
A87,18.3087,109.87,-278.9869
A88,30.0914,109.444,-278.1308
A89,41.8868,108.758,-276.871
A90,53.6373,107.913,-275.1691
A91,65.2835,106.913,-273.0346
B79,76.7671,105.661,-270.5232
B80,81.5064,95.127,-273.0346
B81,86.0562,84.359,-275.1691
B82,90.4905,73.445,-276.871
B83,94.7883,62.439,-278.1308
B84,98.8343,51.364,-278.9869
B85,102.7628,39.818,-279.454
B86,106.5411,28.19,-279.454
B87,110.1497,16.539,-278.9869
B88,113.3858,5.202,-278.1308
B89,116.378,-6.229,-276.871
B90,119.2059,-17.665,-275.1691
B91,121.8538,-29.05,-273.0346
C79,124.2117,-40.358,-270.5232
C80,115.6573,-48.121,-273.0346
C81,106.823,-55.776,-275.1691
C82,97.813,-63.366,-276.871
C83,88.6738,-70.854,-278.1308
C84,79.3916,-78.124,-278.9869
C85,69.6243,-85.429,-279.454
C86,59.7327,-92.615,-279.454
C87,49.7676,-99.647,-278.9869
C88,39.9849,-106.229,-278.1308
C89,30.0387,-112.606,-276.871
C90,20.036,-118.83,-275.1691
C91,10.0263,-124.867,-273.0346
D79,0,-130.604,-270.5232
D80,-10.0263,-124.867,-273.0346
D81,-20.036,-118.83,-275.1691
D82,-30.0387,-112.606,-276.871
D83,-39.9849,-106.229,-278.1308
D84,-49.7676,-99.647,-278.9869
D85,-59.7327,-92.615,-279.454
D86,-69.6243,-85.429,-279.454
D87,-79.3916,-78.124,-278.9869
D88,-88.6738,-70.854,-278.1308
D89,-97.813,-63.366,-276.871
D90,-106.823,-55.776,-275.1691
D91,-115.6573,-48.121,-273.0346
E79,-124.2117,-40.358,-270.5232
E80,-121.8538,-29.05,-273.0346
E81,-119.2059,-17.665,-275.1691
E82,-116.378,-6.228,-276.871
E83,-113.3858,5.202,-278.1308
E84,-110.1497,16.539,-278.9869
E85,-106.5411,28.19,-279.454
E86,-102.7628,39.818,-279.454
E87,-98.8343,51.364,-278.9869
E88,-94.7883,62.439,-278.1308
E89,-90.4905,73.445,-276.871
E90,-86.0562,84.359,-275.1691
E91,-81.5064,95.127,-273.0346
A79,-76.7671,105.661,-270.5232
A93,-70.7961,114.503,-268.5466
A94,-59.2612,115.66,-270.8342
A95,-47.5535,116.591,-272.7372
A96,-35.7711,117.339,-274.2122
A97,-24.0135,117.852,-275.2718
A98,-12.2188,118.183,-275.9055
A99,0,118.281,-276.134
A100,12.2188,118.183,-275.9055
A101,24.0135,117.852,-275.2718
A102,35.7711,117.339,-274.2122
A103,47.5535,116.591,-272.7372
A104,59.2612,115.66,-270.8342
A105,70.7961,114.503,-268.5466
B92,82.2215,113.169,-265.8435
B93,87.021,102.715,-268.5466
B94,91.6858,92.102,-270.8342
B95,96.189,81.255,-272.7372
B96,100.5413,70.28,-274.2122
B97,104.6627,59.257,-275.2718
B98,108.6222,48.142,-275.9055
B99,112.4911,36.551,-276.134
B100,116.1738,24.9,-275.9055
B101,119.5039,13.58,-275.2718
B102,122.6491,2.24,-274.2122
B103,125.5787,-9.197,-272.7372
B104,128.3113,-20.62,-270.8342
B105,130.7754,-31.948,-268.5466
C92,133.0372,-43.226,-265.8435
C93,124.5781,-51.021,-268.5466
C94,115.9262,-58.737,-270.8342
C95,107.0016,-66.372,-272.7372
C96,97.9091,-73.902,-274.2122
C97,88.6987,-81.229,-275.2718
C98,79.351,-88.429,-275.9055
C99,69.5233,-95.69,-276.134
C100,59.5805,-102.793,-275.9055
C101,49.8439,-109.458,-275.2718
C102,40.0302,-115.954,-274.2122
C103,30.0584,-122.274,-272.7372
C104,20.0395,-128.403,-270.8342
C105,10.0275,-134.247,-268.5466
D92,0,-139.883,-265.8435
D93,-10.0275,-134.247,-268.5466
D94,-20.0395,-128.403,-270.8342
D95,-30.0584,-122.274,-272.7372
D96,-40.0302,-115.954,-274.2122
D97,-49.8439,-109.458,-275.2718
D98,-59.5805,-102.793,-275.9055
D99,-69.5233,-95.69,-276.134
D100,-79.351,-88.429,-275.9055
D101,-88.6987,-81.229,-275.2718
D102,-97.9091,-73.902,-274.2122
D103,-107.0016,-66.372,-272.7372
D104,-115.9262,-58.737,-270.8342
D105,-124.5781,-51.021,-268.5466
E92,-133.0372,-43.226,-265.8435
E93,-130.7754,-31.948,-268.5466
E94,-128.3113,-20.62,-270.8342
E95,-125.5787,-9.197,-272.7372
E96,-122.6491,2.24,-274.2122
E97,-119.5039,13.58,-275.2718
E98,-116.1738,24.9,-275.9055
E99,-112.4911,36.551,-276.134
E100,-108.6222,48.142,-275.9055
E101,-104.6627,59.257,-275.2718
E102,-100.5413,70.28,-274.2122
E103,-96.189,81.255,-272.7372
E104,-91.6858,92.102,-270.8342
E105,-87.021,102.715,-268.5466
A92,-82.2215,113.169,-265.8435
A107,-76.2241,121.98,-263.7254
A108,-64.733,123.22,-266.2082
A109,-53.1617,124.256,-268.2809
A110,-41.4072,125.09,-269.9596
A111,-29.6892,125.715,-271.2095
A112,-17.9049,126.133,-272.048
A113,-6.1133,126.344,-272.4704
A114,6.1133,126.344,-272.4704
A115,17.9049,126.133,-272.048
A116,29.6892,125.715,-271.2095
A117,41.4072,125.09,-269.9596
A118,53.1617,124.256,-268.2809
A119,64.733,123.22,-266.2082
A120,76.2241,121.98,-263.7254
B106,87.5775,120.541,-260.8456
B107,92.4548,110.188,-263.7254
B108,97.1849,99.642,-266.2082
B109,101.7458,88.957,-268.2809
B110,106.1719,78.036,-269.9596
B111,110.387,67.084,-271.2095
B112,114.4264,56.006,-272.048
B113,118.2708,44.857,-272.4704
B114,122.049,33.229,-272.4704
B115,125.4923,21.949,-272.048
B116,128.736,10.612,-271.2095
B117,131.763,-0.725,-269.9596
B118,134.6015,-12.162,-268.2809
B119,137.1921,-23.488,-266.2082
B120,139.5639,-34.799,-263.7254
C106,141.7034,-46.042,-260.8456
C107,133.3643,-53.88,-263.7254
C108,124.7966,-61.637,-266.2082
C109,116.0441,-69.276,-268.2809
C110,107.0251,-76.861,-269.9596
C111,97.9122,-84.254,-271.2095
C112,88.6243,-91.519,-272.048
C113,79.2087,-98.62,-272.4704
C114,69.3171,-105.807,-272.4704
C115,59.6536,-112.567,-272.048
C116,49.874,-119.156,-271.2095
C117,40.0268,-125.538,-269.9596
C118,30.0266,-131.772,-268.2809
C119,20.0563,-137.735,-266.2082
C120,10.0311,-143.486,-263.7254
D106,0,-148.995,-260.8456
D107,-10.0311,-143.486,-263.7254
D108,-20.0563,-137.735,-266.2082
D109,-30.0266,-131.772,-268.2809
D110,-40.0268,-125.538,-269.9596
D111,-49.874,-119.156,-271.2095
D112,-59.6536,-112.567,-272.048
D113,-69.3171,-105.807,-272.4704
D114,-79.2087,-98.62,-272.4704
D115,-88.6243,-91.519,-272.048
D116,-97.9122,-84.254,-271.2095
D117,-107.0251,-76.861,-269.9596
D118,-116.0441,-69.276,-268.2809
D119,-124.7966,-61.637,-266.2082
D120,-133.3643,-53.88,-263.7254
E106,-141.7034,-46.042,-260.8456
E107,-139.5639,-34.799,-263.7254
E108,-137.1921,-23.488,-266.2082
E109,-134.6015,-12.162,-268.2809
E110,-131.763,-0.725,-269.9596
E111,-128.736,10.612,-271.2095
E112,-125.4923,21.949,-272.048
E113,-122.049,33.229,-272.4704
E114,-118.2708,44.857,-272.4704
E115,-114.4264,56.006,-272.048
E116,-110.387,67.084,-271.2095
E117,-106.1719,78.036,-269.9596
E118,-101.7458,88.957,-268.2809
E119,-97.1849,99.642,-266.2082
E120,-92.4548,110.188,-263.7254
A106,-87.5775,120.541,-260.8456
A122,-81.5407,129.299,-258.5982
A123,-70.127,130.631,-261.2621
A124,-58.6051,131.762,-263.5232
A125,-46.9929,132.689,-265.378
A126,-35.3082,133.412,-266.8235
A127,-23.5691,133.929,-267.8577
A128,-11.7936,134.24,-268.4788
A129,0,134.343,-268.6859
A130,11.7936,134.24,-268.4788
A131,23.5691,133.929,-267.8577
A132,35.3082,133.412,-266.8235
A133,46.9929,132.689,-265.378
A134,58.6051,131.762,-263.5232
A135,70.127,130.631,-261.2621
A136,81.5407,129.299,-258.5982
B121,92.8287,127.768,-255.5355
B122,97.7733,117.506,-258.5982
B123,102.5671,107.062,-261.2621
B124,107.2028,96.454,-263.5232
B125,111.6731,85.696,-265.378
B126,115.9713,74.807,-266.8235
B127,120.0906,63.802,-267.8577
B128,124.0248,52.699,-268.4788
B129,127.7678,41.515,-268.6859
B130,131.3137,30.266,-268.4788
B131,134.6572,18.971,-267.8577
B132,137.793,7.647,-266.8235
B133,140.7163,-3.689,-265.378
B134,143.4227,-15.02,-263.5232
B135,145.9079,-26.327,-261.2621
B136,148.1682,-37.594,-258.5982
C121,150.2,-48.803,-255.5355
C122,141.9679,-56.676,-258.5982
C123,133.5169,-64.463,-261.2621
C124,124.8601,-72.15,-263.5232
C125,116.0107,-79.725,-265.378
C126,106.9824,-87.178,-266.8235
C127,97.7892,-94.497,-267.8577
C128,88.4452,-101.669,-268.4788
C129,78.9648,-108.685,-268.6859
C130,69.3627,-115.534,-268.4788
C131,59.6536,-122.204,-267.8577
C132,49.8525,-128.686,-266.8235
C133,39.9746,-134.969,-265.378
C134,30.035,-141.044,-263.5232
C135,20.0491,-146.902,-261.2621
C136,10.0323,-152.533,-258.5982
D121,0,-157.929,-255.5355
D122,-10.0323,-152.533,-258.5982
D123,-20.0491,-146.902,-261.2621
D124,-30.035,-141.044,-263.5232
D125,-39.9746,-134.969,-265.378
D126,-49.8525,-128.686,-266.8235
D127,-59.6536,-122.204,-267.8577
D128,-69.3627,-115.534,-268.4788
D129,-78.9648,-108.685,-268.6859
D130,-88.4452,-101.669,-268.4788
D131,-97.7892,-94.497,-267.8577
D132,-106.9824,-87.178,-266.8235
D133,-116.0107,-79.725,-265.378
D134,-124.8601,-72.15,-263.5232
D135,-133.5169,-64.463,-261.2621
D136,-141.9679,-56.676,-258.5982
E121,-150.2,-48.803,-255.5355
E122,-148.1682,-37.594,-258.5982
E123,-145.9079,-26.327,-261.2621
E124,-143.4227,-15.02,-263.5232
E125,-140.7163,-3.689,-265.378
E126,-137.793,7.647,-266.8235
E127,-134.6571,18.971,-267.8577
E128,-131.3137,30.266,-268.4788
E129,-127.7678,41.515,-268.6859
E130,-124.0248,52.699,-268.4788
E131,-120.0906,63.802,-267.8577
E132,-115.9713,74.807,-266.8235
E133,-111.6731,85.696,-265.378
E134,-107.2028,96.454,-263.5232
E135,-102.5671,107.062,-261.2621
E136,-97.7733,117.506,-258.5982
A121,-92.8287,127.768,-255.5355
A138,-87.741,137.833,-252.0788
A139,-76.3875,139.277,-254.9648
A140,-64.8875,140.525,-257.4542
A141,-53.3154,141.565,-259.5326
A142,-41.5164,142.415,-261.2175
A143,-29.7967,143.043,-262.4713
A144,-18.0019,143.465,-263.3133
A145,-6.2083,143.679,-263.7388
A146,6.2083,143.679,-263.7389
A147,18.0019,143.465,-263.3133
A148,29.7967,143.043,-262.4713
A149,41.5164,142.415,-261.2175
A150,53.3154,141.565,-259.5326
A151,64.8875,140.525,-257.4542
A152,76.3875,139.277,-254.9648
A153,87.741,137.833,-252.0788
B137,97.9688,134.843,-249.9196
B138,103.9736,126.04,-252.0788
B139,108.8552,115.688,-254.9648
B140,113.5953,105.137,-257.4542
B141,118.1604,94.452,-259.5326
B142,122.6154,83.493,-261.2175
B143,126.8337,72.541,-262.4713
B144,130.8804,61.454,-263.3133
B145,134.7277,50.304,-263.7388
B146,138.5647,38.495,-263.7389
B147,142.0063,27.213,-263.3133
B148,145.2491,15.865,-262.4713
B149,148.2739,4.525,-261.2175
B150,151.1111,-6.96,-259.5326
B151,153.698,-18.287,-257.4542
B152,156.0653,-29.609,-254.9648
B153,158.2005,-40.853,-252.0788
C137,158.5168,-51.505,-249.9196
C138,152.0002,-59.936,-252.0788
C139,143.6637,-67.778,-254.9648
C140,135.0933,-75.546,-257.4542
C141,126.3425,-83.19,-259.5326
C142,117.2968,-90.813,-261.2175
C143,108.1843,-98.209,-262.4713
C144,98.8905,-105.484,-263.3133
C145,89.4746,-112.589,-263.7388
C146,79.4294,-119.887,-263.7389
C147,69.7628,-126.647,-263.3133
C148,59.9722,-133.237,-262.4713
C149,50.1219,-139.618,-261.2175
C150,40.0765,-145.866,-259.5326
C151,30.1031,-151.826,-257.4542
C152,20.0662,-157.576,-254.9648
C153,10.0323,-163.082,-252.0788
D137,0,-166.674,-249.9196
D138,-10.0323,-163.082,-252.0788
D139,-20.0662,-157.576,-254.9648
D140,-30.1031,-151.826,-257.4542
D141,-40.0765,-145.866,-259.5326
D142,-50.1219,-139.618,-261.2175
D143,-59.9722,-133.237,-262.4713
D144,-69.7628,-126.647,-263.3133
D145,-79.4294,-119.887,-263.7388
D146,-89.4746,-112.589,-263.7389
D147,-98.8905,-105.484,-263.3133
D148,-108.1843,-98.209,-262.4713
D149,-117.2968,-90.813,-261.2175
D150,-126.3425,-83.19,-259.5326
D151,-135.0933,-75.546,-257.4542
