X坐标（米）,Y坐标（米）,Z坐标（米）
-40.2897,38.6117,-294.5606,
-36.3190,49.9890,-293.3635,
-30.2558,58.4969,-292.4770,
-18.1811,58.7155,-293.4314,
-6.0960,58.8253,-293.9090,
6.0960,58.8253,-293.9090,
18.1811,58.7155,-293.4314,
30.2558,58.4969,-292.4770,
42.2620,58.1696,-291.0505,
46.2863,46.8547,-292.4922,
50.2428,35.4497,-293.5440,
54.1028,23.9940,-294.1289,
57.8937,12.3949,-294.2336,
61.5467,0.8545,-293.8453,
65.0896,-10.7161,-292.9564,
68.5024,-22.2578,-291.5655,
58.9752,-29.5973,-293.0451,
49.3194,-36.8890,-294.0187,
39.5851,-44.0924,-294.4800,
29.6973,-51.2641,-294.4287,
19.8329,-58.2747,-293.8709,
9.9172,-65.1827,-292.8139,
-0.0000,-71.9551,-291.2731,
-9.9117,-65.1467,-292.6523,
-19.8109,-58.2099,-293.5443,
-29.6493,-51.1812,-293.9527,
-39.5083,-44.0069,-293.9090,
-49.2209,-36.8153,-293.4314,
-58.8609,-29.5399,-292.4770,
-68.3814,-22.2185,-291.0505,
-64.9830,-10.6986,-292.4770,
-61.4600,0.8533,-293.4314,
-57.8299,12.3812,-293.9090,
-54.0623,23.9760,-293.9090,
-50.2235,35.4361,-293.4314,
-46.2839,46.8522,-292.4770,
-42.2683,58.1782,-291.0936,
-36.1938,66.6776,-290.1209,
-24.1558,66.9330,-291.2328,
-12.0877,67.0967,-291.9452,
-0.0000,67.1516,-292.1828,
12.0877,67.0967,-291.9452,
24.1558,66.9330,-291.2328,
36.1846,66.6606,-290.0468,
48.1545,66.2794,-288.3891,
52.2157,55.0129,-290.0468,
56.1994,43.6633,-291.2708,
60.1045,32.2453,-292.0790,
63.9154,20.7681,-292.4165,
67.6230,9.2488,-292.2710,
71.2188,-2.2926,-291.6328,
74.6944,-13.8357,-290.4955,
78.0418,-25.3574,-288.8565,
68.5818,-32.7198,-290.5813,
58.9996,-40.0293,-291.8030,
49.3137,-47.2689,-292.5167,
39.5430,-54.4263,-292.7206,
29.7071,-61.4855,-292.4178,
19.8254,-68.4367,-291.6143,
9.9171,-75.2684,-290.3202,
-0.0000,-81.9704,-288.5487,
-9.9121,-75.2304,-290.1737,
-19.8049,-68.3659,-291.3123,
-29.6615,-61.3912,-291.9691,
-39.4703,-54.3263,-292.1828,
-49.2174,-47.1766,-291.9452,
-58.8844,-39.9510,-291.2328,
-68.4557,-32.6596,-290.0468,
-77.9156,-25.3163,-288.3891,
-74.5790,-13.8144,-290.0468,
-71.1212,-2.2894,-291.2328,
-67.5476,9.2385,-291.9452,
-63.8643,20.7515,-292.1828,
-60.0795,32.2319,-291.9577,
-56.2022,43.6655,-291.2856,
-52.2363,55.0346,-290.1613,
-48.1886,66.3262,-288.5930,
-42.3097,75.2372,-287.3910,
-30.2779,75.5301,-288.6827,
-18.1893,75.7256,-289.5453,
-6.1015,75.8262,-289.9883,
6.1015,75.8262,-289.9883,
18.1871,75.7165,-289.5105,
30.2645,75.4969,-288.5557,
42.2711,75.1686,-287.1288,
53.9893,74.3103,-285.3827,
58.4268,63.4311,-287.1288,
62.4491,52.1137,-288.5557,
66.4014,40.7014,-289.5590,
70.2627,29.2484,-290.1259,
74.0583,17.6425,-290.2155,
77.7121,6.1072,-289.8151,
81.2554,-5.4599,-288.9178,
84.6677,-16.9973,-287.5225,
87.4791,-28.4230,-285.7830,
78.5105,-36.0255,-287.6037,
68.9856,-43.3672,-289.0814,
59.3298,-50.6599,-290.0547,
49.5958,-57.8627,-290.5169,
39.6987,-65.0374,-290.4679,
29.8326,-72.0451,-289.9131,
19.9122,-78.9495,-288.8605,
9.9916,-85.7171,-287.3250,
-0.0000,-91.8817,-285.4744,
-9.9872,-85.6791,-287.1975,
-19.8937,-78.8760,-288.5917,
-29.7912,-71.9450,-289.5105,
-39.6332,-64.9301,-289.9883,
-49.5056,-57.7574,-289.9883,
-59.2185,-50.5648,-289.5105,
-68.8602,-43.2884,-288.5557,
-78.3808,-35.9660,-287.1288,
-87.3921,-28.3947,-285.4986,
-84.5784,-16.9794,-287.2192,
-81.1742,-5.4545,-288.6291,
-77.6494,6.1023,-289.5812,
-74.0212,17.6337,-290.0704,
-70.2558,29.2455,-290.0975,
-66.4257,40.7163,-289.6651,
-62.4973,52.1539,-288.7785,
-58.4918,63.5016,-287.4481,
-54.0721,74.4242,-285.8201,
-48.1722,83.3246,-284.5095,
-36.3769,84.0624,-285.8418,
-24.3011,84.3102,-286.8921,
-12.1992,84.4324,-287.5153,
-0.0000,84.4823,-287.6852,
12.1950,84.4031,-287.4154,
24.2841,84.2514,-286.6918,
36.3336,83.9620,-285.5003,
48.0843,83.1725,-283.9901,
59.7595,82.2524,-282.0346,
64.2422,71.4330,-283.9901,
68.6243,60.5009,-285.5003,
72.6228,49.1307,-286.6918,
76.5154,37.6868,-287.4628,
80.3733,26.1153,-287.7804,
84.0990,14.4942,-287.6181,
87.7119,2.9428,-286.9559,
91.1769,-8.6190,-285.8053,
94.0673,-20.0518,-284.3147,
96.8022,-31.4526,-282.3533,
87.9115,-39.0788,-284.3894,
78.8718,-46.6444,-285.9579,
69.2859,-53.9784,-287.1829,
59.5783,-61.2194,-287.9080,
49.7312,-68.4488,-288.1148,
39.7998,-75.5551,-287.8159,
29.9080,-82.5240,-287.0081,
19.9719,-89.3502,-285.7176,
9.9904,-95.5895,-284.1083,
-0.0000,-101.6779,-282.0606,
-9.9867,-95.5543,-284.0036,
-19.9568,-89.2823,-285.5003,
-29.8750,-82.4330,-286.6918,
-39.7445,-75.4500,-287.4154,
-49.6515,-68.3392,-287.6534,
-59.4764,-61.1147,-287.4154,
-69.1675,-53.8862,-286.6918,
-78.7469,-46.5706,-285.5050,
-87.8251,-39.0404,-284.1100,
-96.7943,-31.4501,-282.3303,
-94.0438,-20.0468,-284.2436,
-91.1532,-8.6167,-285.7309,
-87.6979,2.9424,-286.9098,
-84.1051,14.4953,-287.6391,
-80.4076,26.1264,-287.9031,
-76.5818,37.7195,-287.7122,
-72.7163,49.1940,-287.0611,
-68.7374,60.6007,-285.9711,
-64.3763,71.5821,-284.5827,
-59.9187,82.4714,-282.7857,
-54.0054,91.3810,-281.3627,
-42.2117,92.1574,-282.8521,
-30.3971,92.7923,-283.9519,
-18.2917,92.9665,-284.7657,
-6.1056,93.0993,-285.1250,
6.1040,93.0746,-285.0492,
18.2767,92.8902,-284.5317,
30.3530,92.6576,-283.5395,
42.1201,91.9574,-282.2383,
53.8414,91.1034,-280.5079,
65.4598,90.0979,-278.3558,
70.0052,79.3572,-280.5026,
74.4373,68.4720,-282.2247,
78.7336,57.4939,-283.5059,
82.6764,46.0768,-284.4673,
86.6079,34.5572,-284.9690,
90.4005,22.9553,-285.0358,
94.0234,11.3268,-284.6303,
97.5623,-0.2347,-283.7143,
100.5520,-11.6515,-282.4616,
103.3703,-23.0729,-280.7467,
106.0006,-34.4414,-278.5777,
97.2134,-42.1024,-280.8131,
88.2400,-49.7007,-282.6000,
79.1256,-57.1976,-283.9226,
69.4752,-64.4893,-284.9009,
59.7092,-71.7860,-285.3527,
49.8146,-78.9580,-285.3089,
39.8467,-85.9648,-284.7743,
29.9265,-92.8636,-283.7268,
19.9837,-99.1935,-282.3554,
9.9919,-105.3652,-280.5454,
-0.0000,-111.3641,-278.3488,
-9.9904,-105.3492,-280.5026,
-19.9744,-99.1476,-282.2247,
-29.9032,-92.7913,-283.5059,
-39.8037,-85.8721,-284.4673,
-49.7490,-78.8542,-284.9336,
-59.6215,-71.6805,-284.9336,
-69.3695,-64.3911,-284.4673,
-79.0156,-57.1181,-283.5280,
-88.1654,-49.6586,-282.3609,
-97.2121,-42.1018,-280.8091,
-106.1201,-34.4802,-278.8917,
-103.4574,-23.0924,-280.9832,
-100.6249,-11.6599,-282.6665,
-97.6368,-0.2349,-283.9310,
-94.1087,11.3371,-284.8885,
-90.5084,22.9827,-285.3762,
-86.7454,34.6120,-285.4216,
-82.8391,46.1674,-285.0269,
-78.9180,57.6286,-284.1698,
-74.6453,68.6632,-283.0130,
-70.2421,79.6257,-281.4518,
-65.7202,90.4563,-279.4630,
-59.7499,99.3060,-277.7936,
-48.0233,100.1918,-279.6076,
-36.2160,100.8771,-280.8619,
-24.3765,101.4221,-281.7276,
-12.1917,101.6191,-282.2736,
-0.0000,101.6622,-282.3932,
12.1833,101.5490,-282.0790,
24.3417,101.2774,-281.3256,
36.1354,100.6529,-280.2375,
47.8724,99.8769,-278.7288,
59.5361,98.9505,-276.7994,
71.1100,97.8746,-274.4517,
75.6788,87.1646,-276.6862,
80.1609,76.3612,-278.6097,
84.5176,65.4380,-280.0977,
88.7422,54.4131,-281.1480,
92.7365,42.9321,-281.8454,
96.5827,31.3818,-282.0921,
100.2837,19.7821,-281.9122,
103.8181,8.1450,-281.2603,
106.8948,-3.2632,-280.2431,
109.7986,-14.6672,-278.7712,
112.5237,-26.0488,-276.8449,
115.0652,-37.3870,-274.4679,
106.3666,-45.0740,-276.9018,
97.4928,-52.6940,-278.8920,
88.4564,-60.2306,-280.4285,
79.2723,-67.6693,-281.5039,
69.5754,-75.0258,-282.2018,
59.7582,-82.2496,-282.4076,
49.8399,-89.3294,-282.1232,
39.8405,-96.2523,-281.3550,
29.9267,-102.6649,-280.2266,
19.9715,-108.9132,-278.6587,
9.9918,-114.9998,-276.6862,
-0.0000,-120.9260,-274.3301,
-9.9918,-114.9998,-276.6862,
-19.9680,-108.8941,-278.6097,
-29.9129,-102.6176,-280.0977,
-39.8112,-96.1815,-281.1480,
-49.7909,-89.2414,-281.8454,
-59.6884,-82.1536,-282.0781,
-69.4875,-74.9310,-281.8454,
-79.1863,-67.5959,-281.1986,
-88.4044,-60.1952,-280.2637,
-97.5106,-52.7036,-278.9429,
-106.4998,-45.1304,-277.2485,
-115.3691,-37.4857,-275.1929,
-112.7749,-26.1070,-277.4630,
-110.0182,-14.6965,-279.3289,
-107.1017,-3.2695,-280.7855,
-104.0283,8.1614,-281.8298,
-100.5070,19.8262,-282.5400,
-96.8295,31.4619,-282.8128,
-93.0011,43.0546,-282.6495,
-89.0279,54.5883,-282.0531,
-84.8282,65.6785,-281.1272,
-80.4817,76.6668,-279.7249,
-75.9818,87.5134,-277.7936,
-71.3630,98.2228,-275.4281,
-65.4139,107.1265,-273.5799,
-53.7444,108.1285,-275.7187,
-41.9705,108.9752,-277.4240,
-30.1327,109.5941,-278.5122,
-18.3211,109.9447,-279.1765,
-6.1140,110.0510,-279.4871,
6.1115,110.0047,-279.3695,
18.2976,109.8036,-278.8184,
30.0670,109.3554,-277.9055,
41.8472,108.6552,-276.6094,
53.5834,107.8046,-274.8927,
65.2185,106.8065,-272.7627,
76.6960,105.5631,-270.2725,
81.3772,94.9762,-272.6017,
85.8843,84.1905,-274.6195,
90.3098,73.2983,-276.3180,
94.5990,62.3143,-277.5753,
98.6369,51.2614,-278.4297,
102.5575,39.7385,-278.8958,
106.3283,28.1337,-278.8958,
109.9398,16.5075,-278.4554,
113.1827,5.1927,-277.6325,
116.1783,-6.2183,-276.3960,
119.0043,-17.6351,-274.7038,
121.6440,-29.0000,-272.5644,
123.9881,-40.2854,-270.0363,
115.4775,-48.0462,-272.6102,
106.6814,-55.7021,-274.8043,
97.7010,-63.2934,-276.5540,
88.5823,-70.7809,-277.8439,
79.3126,-78.0463,-278.7094,
69.5519,-85.3402,-279.1635,
59.6630,-92.5070,-279.1280,
49.6998,-99.5113,-278.6069,
39.9212,-106.0597,-277.6875,
29.9834,-112.3989,-276.3617,
19.9960,-118.5927,-274.6195,
10.0063,-124.6176,-272.4893,
-0.0000,-130.3431,-269.9829,
-10.0063,-124.6176,-272.4893,
-19.9960,-118.5927,-274.6195,
-29.9787,-112.3811,-276.3180,
-39.9050,-106.0168,-277.5753,
-49.6682,-99.4480,-278.4297,
-59.6134,-92.4300,-278.8958,
-69.4875,-85.2611,-278.9049,
-79.2594,-77.9939,-278.5223,
-88.5643,-70.7665,-277.7873,
-97.7515,-63.3262,-276.6969,
-106.8443,-55.7871,-275.2241,
-115.8064,-48.1830,-273.3865,
-124.4598,-40.4386,-271.0635,
-122.0972,-29.1080,-273.5799,
-119.4324,-17.6986,-275.6920,
-116.5754,-6.2386,-277.3407,
-113.5681,5.2104,-278.5781,
-110.3275,16.5657,-279.4373,
-106.7243,28.2385,-279.9345,
-102.9629,39.8955,-279.9981,
-99.0317,51.4666,-279.5441,
-94.9776,62.5637,-278.6863,
-90.6712,73.5917,-277.4240,
-86.2281,84.5275,-275.7187,
-81.6692,95.3170,-273.5799,
-76.9204,105.8720,-271.0635,
-70.9375,114.7317,-269.0830,
-59.3796,115.8910,-271.3751,
-47.6485,116.8239,-273.2819,
-35.8425,117.5734,-274.7599,
-24.0615,118.0874,-275.8216,
-12.2366,118.3550,-276.3070,
0.0000,118.3851,-276.3771,
12.2243,118.2360,-276.0291,
24.0169,117.8687,-275.3107,
35.7688,117.3314,-274.1944,
47.5446,116.5693,-272.6864,
59.2481,115.6344,-270.7742,
70.7833,114.4824,-268.4982,
82.2170,113.1629,-265.8291,
86.9387,102.6179,-268.2926,
91.5417,91.9573,-270.4086,
95.9984,81.0940,-272.1969,
100.3405,70.1396,-273.6645,
104.4537,59.1386,-274.7220,
108.4052,48.0458,-275.3544,
112.2664,36.4780,-275.5825,
115.9418,24.8503,-275.3544,
119.2652,13.5529,-274.7220,
122.4056,2.2356,-273.6678,
125.3344,-9.1791,-272.2065,
128.0615,-20.5799,-270.3070,
130.5156,-31.8845,-268.0131,
132.7715,-43.1397,-265.3125,
124.3464,-50.9261,-268.0470,
115.7339,-58.6396,-270.3850,
106.8431,-66.2737,-272.3332,
97.7767,-73.8021,-273.8415,
88.5846,-81.1245,-274.9176,
79.2485,-88.3148,-275.5493,
69.4282,-95.5591,-275.7563,
59.4905,-102.6377,-275.4888,
49.7596,-109.2728,-274.8060,
39.9543,-115.7341,-273.6922,
29.9984,-122.0298,-272.1925,
19.9995,-128.1465,-270.2933,
10.0075,-133.9789,-268.0102,
-0.0000,-139.6036,-265.3125,
-10.0075,-133.9789,-268.0102,
-19.9995,-128.1465,-270.2933,
-29.9984,-122.0298,-272.1925,
-39.9502,-115.7224,-273.6645,
-49.7443,-109.2394,-274.7220,
-59.4619,-102.5884,-275.3564,
-69.3999,-95.5202,-275.6439,
-79.2361,-88.3009,-275.5059,
-88.6102,-81.1480,-274.9972,
-97.8723,-73.8742,-274.1091,
-107.0499,-66.4020,-272.8604,
-116.1034,-58.8268,-271.2481,
-124.8269,-51.1229,-269.0830,
-133.3029,-43.3123,-266.3745,
-131.0366,-32.0118,-269.0830,
-128.5676,-20.6612,-271.3751,
-125.8295,-9.2154,-273.2819,
-122.8941,2.2445,-274.7599,
-119.7426,13.6071,-275.8216,
-116.4058,24.9497,-276.4566,
-112.7158,36.6240,-276.6855,
-108.8392,48.2382,-276.4566,
-104.8717,59.3754,-275.8216,
-100.7421,70.4204,-274.7599,
-96.3811,81.4173,-273.2819,
-91.8689,92.2860,-271.3751,
-87.1948,102.9202,-269.0830,
-82.3857,113.3950,-266.3745,
-76.3763,122.2236,-264.2521,
-64.8623,123.4661,-266.7399,
-53.2679,124.5042,-268.8167,
-41.4899,125.3398,-270.4988,
-29.7485,125.9661,-271.7512,
-17.9407,126.3849,-272.5914,
-6.1255,126.5964,-273.0146,
6.1245,126.5750,-272.9686,
17.9300,126.3101,-272.4299,
29.7218,125.8530,-271.5072,
41.4445,125.2027,-270.2028,
53.2044,124.3559,-268.4965,
64.7851,123.3191,-266.4223,
76.2928,122.0899,-263.9631,
87.6737,120.6734,-261.1320,
92.4503,110.1826,-263.7126,
97.0970,99.5518,-265.9673,
101.5919,88.8224,-267.8750,
105.9679,77.8861,-269.4410,
110.1665,66.9500,-270.6678,
114.1979,55.8941,-271.5046,
118.0346,44.7674,-271.9262,
121.8052,33.1626,-271.9262,
125.2416,21.9052,-271.5046,
128.4789,10.5908,-270.6678,
131.4998,-0.7236,-269.4204,
134.3327,-12.1377,-267.7451,
136.9181,-23.4411,-265.6765,
139.2851,-34.7295,-263.1987,
141.4204,-45.9500,-260.3246,
133.0979,-53.7724,-263.1987,
124.5529,-61.5166,-265.6883,
115.8355,-69.1515,-267.7986,
106.8463,-76.7326,-269.5086,
97.7566,-84.1201,-270.7785,
88.4857,-91.3759,-271.6225,
79.0821,-98.4624,-272.0350,
69.1998,-105.6280,-272.0094,
59.5447,-112.3616,-271.5515,
49.7751,-118.9196,-270.6715,
39.9469,-125.2873,-269.4204,
29.9666,-131.5088,-267.7451,
20.0162,-137.4599,-265.6765,
10.0111,-143.1994,-263.1987,
-0.0000,-148.6974,-260.3246,
-10.0111,-143.1994,-263.1987,
-20.0162,-137.4599,-265.6765,
-29.9666,-131.5088,-267.7451,
-39.9469,-125.2873,-269.4204,
-49.7791,-118.9292,-270.6932,
-59.5497,-112.3709,-271.5742,
-69.2129,-105.6479,-272.0608,
-79.1178,-98.5068,-272.1576,
-88.5646,-91.4574,-271.8649,
-97.9087,-84.2510,-271.1998,
-107.1102,-76.9221,-270.1742,
-116.2608,-69.4054,-268.7820,
-125.0459,-61.7601,-266.7399,
-133.6307,-53.9876,-264.2521,
-141.9864,-46.1340,-261.3666,
-139.8427,-34.8685,-264.2521,
-137.4661,-23.5349,-266.7399,
-134.8703,-12.1863,-268.8167,
-132.0262,-0.7264,-270.4988,
-128.9931,10.6332,-271.7512,
-125.7429,21.9928,-272.5914,
-122.2928,33.2954,-273.0146,
-118.5070,44.9466,-273.0146,
-114.6549,56.1179,-272.5914,
-110.6075,67.2180,-271.7512,
-106.3840,78.1919,-270.4988,
-101.9490,89.1347,-268.8167,
-97.3790,99.8410,-266.7399,
-92.6395,110.4081,-264.2521,
-87.7524,120.7818,-261.3666,
-81.7036,129.5573,-259.1147,
-70.2671,130.8919,-261.7839,
-58.7222,132.0252,-264.0495,
-47.0868,132.9540,-265.9080,
-35.3787,133.6785,-267.3564,
-23.6162,134.1965,-268.3927,
-11.8172,134.5081,-269.0150,
0.0000,134.6113,-269.2226,
11.8172,134.5081,-269.0150,
23.6162,134.1965,-268.3927,
35.3787,133.6785,-267.3564,
47.0868,132.9540,-265.9080,
58.7222,132.0252,-264.0495,
70.2671,130.8919,-261.7839,
81.7036,129.5573,-259.1147,
93.0141,128.0232,-256.0459,
97.8845,117.6397,-258.8924,
102.5702,107.0653,-261.2701,
107.1166,96.3765,-263.3114,
111.5162,85.5756,-265.0050,
115.7604,74.6710,-266.3383,
119.8507,63.6746,-267.3227,
123.7771,52.5937,-267.9426,
127.5126,41.4321,-268.1492,
131.0514,30.2055,-267.9426,
134.3882,18.9331,-267.3227,
137.5178,7.6317,-266.2906,
140.4352,-3.6816,-264.8480,
143.1362,-14.9900,-262.9969,
145.6165,-26.2744,-260.7403,
147.8723,-37.5189,-258.0817,
149.9000,-48.7055,-255.0251,
141.6843,-56.5628,-258.0817,
133.2502,-64.3342,-260.7403,
124.6107,-72.0059,-262.9969,
115.7838,-79.5691,-264.8590,
106.7820,-87.0147,-266.3236,
97.6100,-94.3238,-267.3668,
88.2828,-101.4823,-267.9858,
78.8158,-108.4799,-268.1789,
69.2256,-115.3057,-267.9482,
59.5345,-121.9599,-267.3227,
49.7529,-128.4290,-266.2906,
39.8948,-134.6994,-264.8480,
29.9750,-140.7623,-262.9969,
20.0091,-146.6086,-260.7403,
10.0123,-152.2283,-258.0817,
-0.0000,-157.6681,-255.1134,
-10.0149,-152.2691,-258.1508,
-20.0138,-146.6435,-260.8023,
-29.9826,-140.7981,-263.0637,
-39.9074,-134.7421,-264.9318,
-49.7745,-128.4847,-266.4061,
-59.5712,-122.0352,-267.4877,
-69.2853,-115.4051,-268.1793,
-78.9060,-108.6040,-268.4857,
-88.4234,-101.6439,-268.4125,
-97.8291,-94.5355,-267.9669,
-107.1163,-87.2871,-267.1575,
-116.2424,-79.8842,-265.9080,
-125.1095,-72.2941,-264.0495,
-133.7836,-64.5918,-261.7839,
-142.2515,-56.7892,-259.1147,
-150.5000,-48.9005,-256.0459,
-148.4641,-37.6691,-259.1147,
-146.1993,-26.3796,-261.7839,
-143.7092,-15.0500,-264.0495,
-140.9974,-3.6964,-265.9080,
-138.0682,7.6623,-267.3564,
-134.9261,19.0089,-268.3927,
-131.5760,30.3265,-269.0150,
-128.0230,41.5979,-269.2226,
-124.2725,52.8043,-269.0150,
-120.3305,63.9294,-268.3927,
-116.2029,74.9564,-267.3564,
-111.8961,85.8672,-265.9080,
-107.4169,96.6467,-264.0495,
-102.7720,107.2758,-261.7839,
-97.9686,117.7407,-259.1147,
-93.0141,128.0232,-256.0459,
-87.9162,138.1083,-252.5823,
-76.5401,139.5552,-255.4741,
-65.0171,140.8057,-257.9684,
-53.4219,141.8478,-260.0510,
-41.5993,142.6995,-261.7392,
-29.8562,143.3287,-262.9955,
-18.0379,143.7515,-263.8392,
-6.2207,143.9660,-264.2656,
6.2207,143.9660,-264.2657,
18.0379,143.7515,-263.8392,
29.8562,143.3287,-262.9955,
41.5993,142.6995,-261.7392,
53.4219,141.8478,-260.0510,
65.0171,140.8057,-257.9684,
76.5401,139.5552,-255.4741,
87.9162,138.1083,-252.5823,
98.1645,135.1123,-250.4188,
104.1813,126.2917,-252.5823,
109.0228,115.8661,-255.3573,
113.6412,105.1795,-257.5583,
118.1058,94.4084,-259.4127,
122.4791,83.4002,-260.9271,
126.6346,72.4271,-262.0593,
130.6340,61.3383,-262.8176,
134.4586,50.2035,-263.2120,
138.2879,38.4181,-263.2121,
141.7227,27.1586,-262.7874,
144.9590,15.8333,-261.9471,
147.9777,4.5160,-260.6958,
150.8093,-6.9461,-259.0142,
153.3910,-18.2505,-256.9400,
155.7536,-29.5499,-254.4556,
157.8845,-40.7714,-251.5753,
158.2002,-51.4021,-249.4204,
151.6966,-59.8163,-251.5753,
143.3768,-67.6426,-254.4556,
134.8235,-75.3951,-256.9400,
126.0902,-83.0238,-259.0142,
117.0625,-90.6316,-260.6958,
107.9682,-98.0128,-261.9471,
98.6930,-105.2733,-262.7874,
89.2959,-112.3641,-263.2120,
79.2708,-119.6475,-263.2121,
69.6235,-126.3940,-262.7874,
59.8524,-132.9709,-261.9471,
50.0218,-139.3391,-260.6958,
39.9965,-145.5747,-259.0142,
30.0430,-151.5228,-256.9400,
20.0275,-157.2718,-254.4726,
10.0171,-162.8345,-251.6963,
-0.0000,-166.5012,-249.6605,
-10.0219,-162.9122,-251.8163,
-20.0437,-157.3996,-254.6794,
-30.0690,-151.6540,-257.1626,
-40.0332,-145.7083,-259.2520,
-50.0740,-139.4846,-260.9679,
-59.9270,-133.1365,-262.2734,
-69.7306,-126.5886,-263.1919,
-79.4249,-119.8802,-263.7238,
-89.5203,-112.6465,-263.8736,
-99.0106,-105.6121,-263.6331,
-108.4004,-98.4052,-262.9955,
-117.5311,-90.9944,-261.7392,
-126.5948,-83.3562,-260.0510,
-135.3631,-75.6969,-257.9684,
-143.9506,-67.9134,-255.4741,
-152.3038,-60.0557,-252.5823,
-158.8334,-51.6079,-250.4188,
-158.5165,-40.9346,-252.5823,
-156.3770,-29.6681,-255.4741,
-154.0050,-18.3235,-257.9684,
-151.4129,-6.9739,-260.0510,
-148.5701,4.5340,-261.7392,
-145.5392,15.8967,-262.9955,
-142.2899,27.2674,-263.8392,
-138.8415,38.5719,-264.2656,
-134.9968,50.4045,-264.2657,
-131.1418,61.5767,-263.8392,
-127.0870,72.6859,-262.9955,
-122.8603,83.6598,-261.7392,
-118.3964,94.6407,-260.0510,
-113.8222,105.3470,-257.9684,
-109.0726,115.9191,-255.4741,
-104.1813,126.2917,-252.5823,
-98.1645,135.1123,-250.4188,
-93.0009,145.1052,-246.7720,
-82.6828,147.9810,-248.7292,
-71.2298,149.3567,-251.4360,
-59.6664,150.5000,-253.7532,
-47.8943,151.4800,-255.6580,
-36.0464,152.2204,-257.1588,
-24.2576,152.7685,-258.2139,
